x,per_episode
0.000000000000000000e+00,-3.975830528180848944e+01
1.000000000000000000e+00,-3.980096286344866741e+01
2.000000000000000000e+00,-4.219387163865631152e+01
3.000000000000000000e+00,-3.928680334425366993e+01
4.000000000000000000e+00,-4.598148680632930052e+01
5.000000000000000000e+00,-4.081587590754234895e+01
6.000000000000000000e+00,-4.311323942161629219e+01
7.000000000000000000e+00,-5.933930815273623693e+01
8.000000000000000000e+00,-5.145383068601552878e+01
9.000000000000000000e+00,-4.181910063546101242e+01
1.000000000000000000e+01,-5.945416723544252591e+01
1.100000000000000000e+01,-4.979617679806104746e+01
1.200000000000000000e+01,-5.428109759609422014e+01
1.300000000000000000e+01,-3.807922982200356188e+01
1.400000000000000000e+01,-4.007592812146514660e+01
1.500000000000000000e+01,-4.052505308750907176e+01
1.600000000000000000e+01,-3.917909524924566966e+01
1.700000000000000000e+01,-4.383650520828812347e+01
1.800000000000000000e+01,-3.983063209937329674e+01
1.900000000000000000e+01,-4.081355778248649813e+01
2.000000000000000000e+01,-4.170428213353773828e+01
2.100000000000000000e+01,-4.101354732359495614e+01
2.200000000000000000e+01,-3.752086115218119744e+01
2.300000000000000000e+01,-3.874036532655276943e+01
2.400000000000000000e+01,-4.050835507307935046e+01
2.500000000000000000e+01,-3.810156921787590534e+01
2.600000000000000000e+01,-4.042563418131914688e+01
2.700000000000000000e+01,-3.481008171162037002e+01
2.800000000000000000e+01,-3.590745097356258952e+01
2.900000000000000000e+01,-4.379863446201157018e+01
3.000000000000000000e+01,-4.063856939993259942e+01
3.100000000000000000e+01,-9.816705201461829233e+01
3.200000000000000000e+01,-4.165459175809009196e+01
3.300000000000000000e+01,-3.849181329411225505e+01
3.400000000000000000e+01,-4.008622313111003166e+01
3.500000000000000000e+01,-4.110096762349166255e+01
3.600000000000000000e+01,-3.763795892198360349e+01
3.700000000000000000e+01,-4.103362117648782004e+01
3.800000000000000000e+01,-4.411698719154950510e+01
3.900000000000000000e+01,-3.830315528146163473e+01
4.000000000000000000e+01,-5.244192140217233344e+01
4.100000000000000000e+01,-3.527456117649556688e+01
4.200000000000000000e+01,-5.032493636709284601e+01
4.300000000000000000e+01,-3.854012173261249075e+01
4.400000000000000000e+01,-3.674040979923557870e+01
4.500000000000000000e+01,-3.727787046984337138e+01
4.600000000000000000e+01,-3.565743411562695542e+01
4.700000000000000000e+01,-4.538155377560143222e+01
4.800000000000000000e+01,-4.112489443765000630e+01
4.900000000000000000e+01,-4.165762787712468196e+01
5.000000000000000000e+01,-3.666444733256767563e+01
5.100000000000000000e+01,-3.864669124077998674e+01
5.200000000000000000e+01,-4.302242497456258263e+01
5.300000000000000000e+01,-3.795953816998943608e+01
5.400000000000000000e+01,-3.900211014964893508e+01
5.500000000000000000e+01,-3.839451832259170772e+01
5.600000000000000000e+01,-3.582532250828358400e+01
5.700000000000000000e+01,-4.483533795679338141e+01
5.800000000000000000e+01,-1.040596846949975998e+02
5.900000000000000000e+01,-4.175632204091599675e+01
6.000000000000000000e+01,-4.789373498136917817e+01
6.100000000000000000e+01,-3.742957702254110330e+01
6.200000000000000000e+01,-3.588150358385973959e+01
6.300000000000000000e+01,-5.104790177313194732e+01
6.400000000000000000e+01,-3.768357442881654151e+01
6.500000000000000000e+01,-4.033689286049861522e+01
6.600000000000000000e+01,-4.252726692165715150e+01
6.700000000000000000e+01,-3.871184387843788954e+01
6.800000000000000000e+01,-3.726845388053228447e+01
6.900000000000000000e+01,-4.605523052629387593e+01
7.000000000000000000e+01,-4.327689677831358495e+01
7.100000000000000000e+01,-3.793161155109301319e+01
7.200000000000000000e+01,-7.642623096162729723e+01
7.300000000000000000e+01,-3.794861122682060284e+01
7.400000000000000000e+01,-3.860015945292429507e+01
7.500000000000000000e+01,-4.089131614583531871e+01
7.600000000000000000e+01,-3.871763219034379944e+01
7.700000000000000000e+01,-3.777902189136996469e+01
7.800000000000000000e+01,-3.848210542220963504e+01
7.900000000000000000e+01,-3.887032543742576252e+01
8.000000000000000000e+01,-3.950661546531731005e+01
8.100000000000000000e+01,-3.691651807584803890e+01
8.200000000000000000e+01,-6.275148085080212468e+01
8.300000000000000000e+01,-3.684640427587654443e+01
8.400000000000000000e+01,-3.980118291985999690e+01
8.500000000000000000e+01,-3.437740538515134148e+01
8.600000000000000000e+01,-3.682018463030657074e+01
8.700000000000000000e+01,-3.885574432113292431e+01
8.800000000000000000e+01,-3.824245250892840176e+01
8.900000000000000000e+01,-4.117412450100912480e+01
9.000000000000000000e+01,-3.860002051473818341e+01
9.100000000000000000e+01,-3.955082473969196144e+01
9.200000000000000000e+01,-5.001418956733067489e+01
9.300000000000000000e+01,-5.304133825472577968e+01
9.400000000000000000e+01,-1.020033162375354436e+02
9.500000000000000000e+01,-3.608556373726190003e+01
9.600000000000000000e+01,-8.892732590032643714e+01
9.700000000000000000e+01,-4.237011477289525629e+01
9.800000000000000000e+01,-3.858012756530050780e+01
9.900000000000000000e+01,-3.996252600774954544e+01
